Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Amblystegiella;Cucurbita pepo subsp. pepo;;Colletotrichum orchidophilum;Nothotsuga;Antigramma;Acanthodium
Amblystegium;Knautia rupicola;;Lyophyllum shimeji;Papuacedrus;Antiosorus;Acanthogilia
Amblytropis;Artemisia frigida;;Trichoderma virens;Parasitaxus;Antrophyum;Acantholejeunea
Ambuchanania;Ulex parviflorus subsp. parviflorus;;Phaeoacremonium minimum;Pherosphaera;Apalophlebia;Acantholimon
Amphibiophytum;Schistosoma mansoni;;Cordyceps confragosa;Phyllocladus;Apteropteris;Acantholippia
Amphicephalozia;Saimiri boliviensis boliviensis;;Colletotrichum higginsianum;Picea;Arachniodes;Acantholobivia
Amphidium;Cryptotermes secundus;;Coniochaeta rosae;Pilgerodendron;Araiostegia;Acanthomintha
Amphijubula;Vigna radiata;;Fusarium sp.;Pinus;Araiostegiella;Acanthonema
Amphilejeunea;Hibiscus cannabinus;;Rhizopus microsporus;Platycladus;Arcasplenium;Acanthopale
Amphilophocolea;Araucaria heterophylla;;Paraphaeosphaeria sporulosa;Podocarpus;Archangiopteris;Acanthopanax
Amphoridium;Schmidtea mediterranea;;Cladonia petrophila;Prumnopitys;Arcypteris;Acanthopetalus
Amphoritheca;Mastocarpus papillatus;;Madurella mycetomatis;Pseudolarix;Argyrochosma;Acanthophaca
Anacalypta;Berosus sp. BMNH 1425169;;Acremonium fuci;Pseudotaxus;Arthrobotrya;Acanthophippium
Anacamptodon;Artemisia capillaris;;Setaria viridis;Pseudotsuga;Arthrobotrys;Acanthophoenix
Anacolia;Microdispidae sp. BOLD:ACK3606;;Saccharomycopsis fibuligera;Retinispora;Arthromeris;Acanthophyllum
Anastrepta;Ostreococcus lucimarinus CCE9901;;Shiraia bambusicola;Retrophyllum;Arthropteris;Acanthoprasium
Anastrophyllum;Nasutitermes takasagoensis;;Thielavia terrestris;Sabina;Ascogrammitis;Acanthopsis
Ancistrodes;Fargesia nitida;;Talaromyces pinophilus;Saxegothaea;Aspidium;Acanthorhipsalis
Andoa;Nelumbo nucifera;;Boeremia exigua;Sciadopitys;Aspidotis;Acanthorrhinum
Andreaea;Avena agadiriana;;Stropharia rugosoannulata;Sequoia;Asplenidictyum;Acanthorrhiza
Andreaeobryum;Zalophus californianus;;Beauveria bassiana;Sequoiadendron;Aspleniopsis;Acanthorrhynchium
Andrewsianthus;Vicia sativa;;Trametes hirsuta;Stachycarpus;Asplenium;Acanthoscyphus
Androcryphia;Hedychridium monochroum;;Magnaporthe oryzae;Stangeria;Asplenoceterach;Acanthosicyos
Aneura;Wasmannia auropunctata;;Bipolaris cookei;Strobus;Asplenosorus;Acanthospermum
Anictangium;Chamaecrista fasciculata;;Didymella pinodes;Sundacarpus;Astrolepis;Acanthosphaera
Anisostichium;Ostryopsis nobilis;;Malassezia restricta;Taiwania;Atalopteris;Acanthostachys
Anisothecium;Cenchrus americanus;;Wickerhamomyces anomalus;Taxodium;Athyriopsis;Acanthostyles
Anodon;Eisenia fetida;;Sclerotinia sclerotiorum;Taxus;Athyrium;Acanthosyris
Anodontium;Leptinotarsa dahlbomi;;Pythium ultimum;Tetraclinis;Austrogramme;Acanthothamnus
Anodus;Capra hircus;;Atta colombica;Thuja;Austrolycopodium;Acanthotrichilia
Anoectangium;Centaurea nigra;;Sporisorium scitamineum;Thujopsis;Azolla;Acanthoxanthium
Anomacaulis;Ceratomyxa longipes;;Chaetomium thermophilum;Torreya;Bakeropteris;Acanthura
Anomalolejeunea;Oryzias latipes;;Beauveria brongniartii;Tsuga;Balantium;Acanthus
Anomobryopsis;Secale strictum;;Alternaria alternata;Welwitschia;Bathmium;Acanthyllis
Anomobryum;Betula pubescens;;Rhizoctonia solani;Widdringtonia;Belvisia;Acareosperma
Anomoclada;Bromus vulgaris;;Glarea lozoyensis;Wollemia;Bergera;Acarna
Anomodon;Leymus salinus;;Cladophialophora psammophila;Zamia;Bernhardia;Acarphaea
Anomomarsupella;Calliactis parasitica;;Descolea albella;;Biropteris;Acaulimalva
Anomylia;Varroa destructor;;Fusarium fujikuroi;;Blechnidium;Acaulon
Anoplolejeunea;Sinocyclocheilus anshuiensis;;Nectria cinnabarina;;Blechnopsis;Acaulonopsis
Anthelia;Magnolia salicifolia;;Fusarium oxysporum;;Blechnopteris;Acca
Anthelis;Cancer pagurus;;Pseudogymnoascus destructans;;Blechnum;Accara
Anthoceros;Metastrongylus salmi;;Cyphellophora europaea;;Blechum;Accorombona
Antitrichia;Zizania latifolia;;Scedosporium apiospermum;;Blotiella;Acelica
Antoiria;Myrothamnus flabellifolia;;Agrocybe chaxingu;;Bolbitis;Acentra
Aongstroemia;Vicia cracca;;Sordaria macrospora;;Bommeria;Acer
Aongstroemiopsis;Symphyocladia dendroidea;;Placidium squamulosum;;Boniniella;Aceras
Apalodium;Bos indicus x Bos taurus;;Cyberlindnera fabianii;;Botrychium;Acerates
Aphanolejeunea;Poa asiae-minoris;;Cortinarius vibratilis;;Botryopteris;Aceratium
Aphanorrhegma;Ceratotherium simum simum;;Bipolaris oryzae;;Botryothallus;Aceriphyllum
Apiocarpa;Gossypium marchantii;;Cryptococcus gattii;;Botrypus;Acetosa
Aplodon;Ailuropoda melanoleuca;;Pleurotus eryngii;;Brachysorus;Acetosella
Aplozia;Gypsophila paniculata;;Botrytis cinerea;;Brainea;Acetosella
Apomarsupella;Alchornea trewioides;;Gaeumannomyces tritici;;Bryodesma;Achaetogeron
Apometzgeria;Cryptosporidium parvum;;Rhynchosporium orthosporum;;Buesia;Achania
Apotreubia;Digitaria ischaemum;;Coniothyrium glycines;;Byrsopteris;Acharagma
Apterygium;Oncorhynchus tshawytscha;;Leotiomycetes sp.;;Caenopteris;Acharia
Aptychella;Cryptophilus sp. CSR102;;Bipolaris zeicola;;Calamaria;Achatocarpus
Aptychopsis;Artemisia absinthium;;Dictyostelium purpureum;;Calamistrum;Achetaria
Aptychus;Hordeum bogdanii;;Pyronema omphalodes;;Calciphilopteris;Achillea
Arachniopsis;Secale cereale subsp. vavilovii;;Bipolaris sorokiniana;;Callipteris;Achimenantha
Arbuscula;Notechis scutatus;;Cortinarius teraturgus;;Callistopteris;Achimenes
Arbusculohypopterygium;Sinosenecio hederifolius;;Colletotrichum gloeosporioides;;Callogramme;Achlyphila
Archeochaete;Hordeum brachyantherum;;Pleurotus citrinopileatus;;Calochlaena;Achlys
Archeophylla;Eleocharis palustris var. vigens;;Exophiala moniliae;;Calymella;Achnatherum
